Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN,matched_name,use_microbit
"Roseville Joint Union High School District, California",NDA,ROSEVILLE JOINT UNION HIGH SCHOOL DISTRICT,CALIFORNIA,NCES_District-0633630,1750 Cirby Way,Roseville,http://www.rjuhsd.us,ROSEVILLE JOINT UNION HIGH,Yes
"Woodward Middle School, Washington",NDA,WOODWARD MIDDLE SCHOOL,WASHINGTON,NCES_District-5301380,146000 HIGHWAY 101,FORKS,,QUEETS-CLEARWATER SCHOOL DISTRICT,Yes
"East Ramapo Central School District, New York",NDA,EAST RAMAPO CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3627810,105 S MADISON AVE,SPRING VALLEY,http://www.ercsd.org/,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),Yes
"Middletown Enlarged City School District, New York",NDA,MIDDLETOWN ENLARGED CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3619320,223 WISNER AVE,MIDDLETOWN,http://www.middletowncityschools.org,MIDDLETOWN CITY SCHOOL DISTRICT,Yes
"North Smithfield School Department, Rhode Island",NDA,NORTH SMITHFIELD SCHOOL DEPARTMENT,RHODE ISLAND,NCES_District-4400990,49 Farnum Pike,Smithfield,,SMITHFIELD,Yes
"Norwood Public Schools, Massachusetts",NDA,NORWOOD PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2509060,275 Prospect Street,Norwood,http://www.norwood.k12.ma.us,NORWOOD,Yes
"Mohawk Trail Regional School District, Massachusetts",NDA,MOHAWK TRAIL REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,NCES_District-2507990,24 Ashfield Rd,Shelburne Falls,http://www.mtrsd.org/,MOHAWK TRAIL,Yes
"Montour School District, Pennsylvania",NDA,MONTOUR SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4200099,321 E. Third St,Bethlehem,http://www.charterarts.org,LEHIGH VALLEY CHARTER HIGH SCHOOL FOR THE ARTS,Yes
"Russellville School District No. 14, Arkansas",NDA,RUSSELLVILLE SCHOOL DISTRICT NO. 14,ARKANSAS,NCES_District-0512060,220 W 10 ST,RUSSELLVILLE,http://rsdweb.k12.ar.us,RUSSELLVILLE SCHOOL DISTRICT,Yes
"New York City School District #2, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #2,NEW YORK,NCES_District-3615780,290 NORWOOD AVE,PORT JEFFERSON STATION,http://www.comsewogue.k12.ny.us,BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,Yes
"Lorain County Community College, Ohio",NDA,LORAIN COUNTY COMMUNITY COLLEGE,OHIO,NCES_District-3900503,16210 Lorain Ave,Cleveland,http://westparkcommunitymiddle.constellationschools.com/,CONSTELLATION SCHOOLS: WESTPARK COMMUNITY MIDDLE,Yes
"Dansville School District, New York",NDA,DANSVILLE SCHOOL DISTRICT,NEW YORK,NCES_District-3608790,337 MAIN ST,DANSVILLE,http://www.dansvillecsd.org,DANSVILLE CENTRAL SCHOOL DISTRICT,Yes
"Cassia County Joint School District #151, Idaho",NDA,CASSIA COUNTY JOINT SCHOOL DISTRICT #151,IDAHO,NCES_District-1600660,3650 OVERLAND AVENUE,BURLEY,,CASSIA COUNTY JOINT DISTRICT,Yes
"Apple Valley Unified School District, California",NDA,APPLE VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0600017,12555 Navajo Rd.,Apple Valley,http://www.avusd.org,APPLE VALLEY UNIFIED,Yes
"Hickory Ridge High School, North Carolina",NDA,HICKORY RIDGE HIGH SCHOOL,NORTH CAROLINA,NCES_District-3700403,3000 TILLEY MORRIS ROAD,WEDDINGTON,,UNION DAY SCHOOL,Yes
"La Paz Middle School, California",NDA,LA PAZ MIDDLE SCHOOL,CALIFORNIA,NCES_District-0602026,3020 Hilltop Mall Rd.,Richmond,http://tam.summitps.org,SUMMIT PUBLIC SCHOOL: TAMALPAIS DISTRICT,Yes
"City of Cheyenne, Wyoming",NDA,CITY OF CHEYENNE,WYOMING,NCES_District-5600005,401 Hathaway Building,Cheyenne,http://wdh.state.wy.us,WYOMING DEPARTMENT OF HEALTH,Yes
"Alamo Community College District, Texas",NDA,ALAMO COMMUNITY COLLEGE DISTRICT,TEXAS,NCES_District-4807350,1812 WELSH AVE,COLLEGE STATION,http://www.csisd.org,COLLEGE STATION ISD,Yes
"District of Columbia - GSA, District of Columbia",NDA,DISTRICT OF COLUMBIA - GSA,DISTRICT OF COLUMBIA,NCES_District-1100030,1200 First St NE,Washington,http://www.schoolwithinschool.org,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Yes
"City of Coppell, Texas",NDA,CITY OF COPPELL,TEXAS,NCES_District-4800251,2200 E 6TH ST,AUSTIN,http://utelementary.org/,UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,Yes
"Berkley School District, Massachusetts",NDA,BERKLEY SCHOOL DISTRICT,MASSACHUSETTS,NCES_District-2502520,21 North Main Street,Berkley,http://www.BerkleyPublicSchools.org,BERKLEY,Yes
"Ridgemont Local School District, Ohio",NDA,RIDGEMONT LOCAL SCHOOL DISTRICT,OHIO,NCES_District-3904750,560 Taylor St W,Mount Victory,http://www.ridgemont.k12.oh.us/,RIDGEMONT LOCAL,Yes
"Marple Newtown School District, Pennsylvania",NDA,MARPLE NEWTOWN SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4214760,40 Media Line Rd Ste 204,Newtown Square,http://www.mnsd.org,MARPLE NEWTOWN SD,Yes
"West Chester Area School District, Pennsylvania",NDA,WEST CHESTER AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4225290,782 Springdale Drive,Exton,http://www.wcasd.net,WEST CHESTER AREA SD,Yes
"Cheney High School, Washington",NDA,CHENEY HIGH SCHOOL,WASHINGTON,NCES_District-5308370,P. O. Box 5025,Pasco,http://www.starsd.org,STAR SCHOOL DISTRICT NO. 054,Yes
"Palm Beach County Water Utilities, Florida",NDA,PALM BEACH COUNTY WATER UTILITIES,FLORIDA,NCES_District-1201500,3300 FOREST HILL BLVD # C-316,WEST PALM BEACH,http://www.palmbeachschools.org,PALM BEACH,Yes
"Putnam County Charter School System, Georgia",NDA,PUTNAM COUNTY CHARTER SCHOOL SYSTEM,GEORGIA,NCES_District-1304260,158 Old Glenwood Springs Road,Eatonton,http://www.putnam.k12.ga.us,PUTNAM COUNTY,Yes
"Senn High School, Illinois",NDA,SENN HIGH SCHOOL,ILLINOIS,NCES_District-1701425,2900 Ogden Ave,Lisle,,SCHOOL ASSN FOR SPECIAL EDUC,Yes
"Santa Clara Unified School District, California",NDA,SANTA CLARA UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0635430,PO Box 397,Santa Clara,http://www.santaclarausd.org,SANTA CLARA UNIFIED,Yes
"Karns City Area School District, Pennsylvania",NDA,KARNS CITY AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4209600,1446 Kittanning Pike,Karns City,http://www.kcasdk12.org,KARNS CITY AREA SD,Yes
"Burlingame School District, California",NDA,BURLINGAME SCHOOL DISTRICT,CALIFORNIA,NCES_District-0602189,474 S. Hartford Ave.,Los Angeles,http://paralosninos.org/gratts-primary-center/,PARA LOS NINOS - EVELYN THURMAN GRATTS PRIMARY DISTRICT,Yes
"Lamar University, Texas",NDA,LAMAR UNIVERSITY,TEXAS,NCES_District-4800071,2200 E 6TH ST,AUSTIN,http://www.utcharter.org,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,Yes
"Altoona Area School District, Pennsylvania",NDA,ALTOONA AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4202340,1201 8th Avenue,Altoona,http://www.aasdcat.com/aasd,ALTOONA AREA SD,Yes
"Cascade School District No. 228, Washington",NDA,CASCADE SCHOOL DISTRICT NO. 228,WASHINGTON,NCES_District-5300950,330 EVANS ST,LEAVENWORTH,,CASCADE SCHOOL DISTRICT,Yes
"Hutchinson Public School District No. 423, Minnesota",NDA,HUTCHINSON PUBLIC SCHOOL DISTRICT NO. 423,MINNESOTA,NCES_District-2714970,30 GLEN ST NW,HUTCHINSON,http://www.isd423.org,HUTCHINSON PUBLIC SCHOOL DISTRICT,Yes
"Hermiston School District, Oregon",NDA,HERMISTON SCHOOL DISTRICT,OREGON,NCES_District-4106300,305 SW 11th,Hermiston,http://www.hermiston.k12.or.us,HERMISTON SD 8,Yes
"University Of Georgia, Georgia",NDA,UNIVERSITY OF GEORGIA,GEORGIA,NCES_District-1300234,1335 Northmeadow Pkwy Ste 100,Roswell,,STATE SPECIALTY SCHOOLS I- INTERNATIONAL CHARTER SCH OF ATL,Yes
"Collegium Charter School, Pennsylvania",NDA,COLLEGIUM CHARTER SCHOOL,PENNSYLVANIA,NCES_District-4200099,321 E. Third St,Bethlehem,http://www.charterarts.org,LEHIGH VALLEY CHARTER HIGH SCHOOL FOR THE ARTS,Yes
"Arlington Independent School District, Texas",NDA,ARLINGTON INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800291,P O BOX 40,HUNTSVILLE,http://www.wsdtx.org,WINDHAM SCHOOL DISTRICT,Yes
"East Avenue Middle School, California",NDA,EAST AVENUE MIDDLE SCHOOL,CALIFORNIA,NCES_District-0601939,745 S. Kern Ave.,Los Angeles,http://www.artsinactioncharter.org,ARTS IN ACTION COMMUNITY MIDDLE DISTRICT,Yes
"Florida State University (FSU), Florida",NDA,FLORIDA STATE UNIVERSITY (FSU),FLORIDA,NCES_District-1202013,3000 SCHOOL HOUSE RD,TALLAHASSEE,http://www.fsus.school,FSU LAB SCH,Yes
"Benjamin School District 25, Illinois",NDA,BENJAMIN SCHOOL DISTRICT 25,ILLINOIS,NCES_District-1726550,2 Sage Dr,Monticello,http://www.sages.us,MONTICELLO CUSD 25,Yes
"Ft. Thomas Independent Schools, Kentucky",NDA,FT. THOMAS INDEPENDENT SCHOOLS,KENTUCKY,NCES_District-2102910,940 Highland Ave,Jackson,http://www.jacksonind.net/,JACKSON INDEPENDENT,Yes
"Sunnybrook School District No. 171, Illinois",NDA,SUNNYBROOK SCHOOL DISTRICT NO. 171,ILLINOIS,NCES_District-1738550,200 E Main St,Tamaroa,http://tgs5.com,TAMAROA SCHOOL DIST 5,Yes
"Highline College, Washington",NDA,HIGHLINE COLLEGE,WASHINGTON,NCES_District-5300323,1701 BROADWAY,SEATTLE,http://www.sccd.ctc.edu/,SEATTLE CENTRAL COMMUNITY COLLEGE,Yes
"City of Barnstable Town, Massachusetts",NDA,CITY OF BARNSTABLE TOWN,MASSACHUSETTS,NCES_District-2502310,P O Box 955,Hyannis,http://www.barnstable.k12.ma.us/,BARNSTABLE,Yes
"Iron County School District, Utah",NDA,IRON COUNTY SCHOOL DISTRICT,UTAH,NCES_District-4900450,346 E 600 N,NEPHI,http://www.juabsd.org,JUAB DISTRICT,Yes
"Neah-Kah-Nie School District, Oregon",NDA,NEAH-KAH-NIE SCHOOL DISTRICT,OREGON,NCES_District-4108650,PO Box 28,Rockaway Beach,http://www.nknsd.org,NEAH-KAH-NIE SD 56,Yes
"Truth or Consequences Municipal Schools, New Mexico",NDA,TRUTH OR CONSEQUENCES MUNICIPAL SCHOOLS,NEW MEXICO,NCES_District-3502610,180 NORTH DATE ST,T OR C,http://www.torcschools.net,T OR C,Yes
"Kirtland Local School District, Ohio",NDA,KIRTLAND LOCAL SCHOOL DISTRICT,OHIO,NCES_District-3904787,9252 Chillicothe Rd,Kirtland,http://www.kirtlandschools.org/,KIRTLAND LOCAL,Yes
"OABCIG Community School District, Iowa",NDA,OABCIG COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1921600,900 John Montgomery Dr,Ida Grove,http://www.oabcig.org,ODEBOLT ARTHUR BATTLE CREEK IDA GROVE COMM SCHOOL DISTRICT,Yes
"Ashland Public Schools, Massachusetts",NDA,ASHLAND PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2502100,87 West Union Street,Ashland,http://www.ashland.k12.ma.us,ASHLAND,Yes
"Tewksbury Public Schools, Massachusetts",NDA,TEWKSBURY PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2511580,139 Pleasant Street,Tewksbury,http://www.tewksbury.k12.ma.us,TEWKSBURY,Yes
"School District of Nekoosa, Wisconsin",NDA,SCHOOL DISTRICT OF NEKOOSA,WISCONSIN,NCES_District-5510380,600 S Section St,Nekoosa,http://www.nekoosasd.net,NEKOOSA SCHOOL DISTRICT,Yes
"Hampden-Wilbraham Regional School District, Massachusetts",NDA,HAMPDEN-WILBRAHAM REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,NCES_District-2505730,621 Main Street,Wilbraham,http://www.hwrsd.org,HAMPDEN-WILBRAHAM,Yes
"School District of Bismarck, North Dakota",NDA,SCHOOL DISTRICT OF BISMARCK,NORTH DAKOTA,NCES_District-3800014,128 Soo Line Dr,Bismarck,http://www.bismarckschools.org,BISMARCK 1,Yes
"Thomasville City School District, North Carolina",NDA,THOMASVILLE CITY SCHOOL DISTRICT,NORTH CAROLINA,NCES_District-3704890,301 Mulberry St,Weldon,http://district.weldoncityschools.org,WELDON CITY SCHOOLS,Yes
"Copley-Fairlawn City School District, Ohio",NDA,COPLEY-FAIRLAWN CITY SCHOOL DISTRICT,OHIO,NCES_District-3904998,3797 Ridgewood Rd,Copley,http://www.copley-fairlawn.org,COPLEY-FAIRLAWN CITY,Yes
"Coeur d' Alene Public Schools, Idaho",NDA,COEUR D' ALENE PUBLIC SCHOOLS,IDAHO,NCES_District-1600156,1513 TYRELL LANE SUITE #110,BOISE,,THE SAGE INTERNATIONAL SCHOOL OF BOISE A PUBLIC CHARTER SCH,Yes
"Aspen Elementary School, Wyoming",NDA,ASPEN ELEMENTARY SCHOOL,WYOMING,NCES_District-5603310,415 Springview Street,Thermopolis,http://www.hotsprings1.org,HOT SPRINGS COUNTY SCHOOL DISTRICT #1,Yes
"Nevada R-V School District, Missouri",NDA,NEVADA R-V SCHOOL DISTRICT,MISSOURI,NCES_District-2921840,811 W HICKORY,NEVADA,http://www.nevada.k12.mo.us/,NEVADA R-V,Yes
"Spencer Community School District, Iowa",NDA,SPENCER COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1926910,PO BOX 200,Spencer,http://www.spencerschools.org,SPENCER COMM SCHOOL DISTRICT,Yes
"New York City School District #22, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #22,NEW YORK,NCES_District-3622200,PO BOX 125,VAN HORNESVILLE,http://www.odyoungcsd.org/,VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,Yes
"Staples-Motley Independent School District No. 2170, Minnesota",NDA,STAPLES-MOTLEY INDEPENDENT SCHOOL DISTRICT NO. 2170,MINNESOTA,NCES_District-2700001,8659 UNITY DR,MOUNTAIN IRON,http://www.mib.k12.mn.us/,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,Yes
"Town of Scarborough, Maine",NDA,TOWN OF SCARBOROUGH,MAINE,NCES_District-2300049,95 High Street,Limestone,http://www.mssm.org,ME SCH OF SCIENCE & MATHEMATICS,Yes
"Palatine Community Consolidated School District No. 15, Illinois",NDA,PALATINE COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 15,ILLINOIS,NCES_District-1701422,300 N Central St,Woodlawn,,WOODLAWN UNIT SCHOOL DISTRICT 209,Yes
"Canoga Park Elementary School, California",NDA,CANOGA PARK ELEMENTARY SCHOOL,CALIFORNIA,NCES_District-0601881,3855 W. Slauson Ave.,Los Angeles,http://www.icefps.org,ICEF VIEW PARK PREPARATORY ELEMENTARY DISTRICT,Yes
"Bemidji Area Schools Independent School District No. 31, Minnesota",NDA,BEMIDJI AREA SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 31,MINNESOTA,NCES_District-2700001,8659 UNITY DR,MOUNTAIN IRON,http://www.mib.k12.mn.us/,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,Yes
"Sycamore Community City School District, Ohio",NDA,SYCAMORE COMMUNITY CITY SCHOOL DISTRICT,OHIO,NCES_District-3904486,5959 Hagewa Dr,Blue Ash,http://www.sycamoreschools.org/,SYCAMORE COMMUNITY CITY,Yes
"School District of Mauston, Wisconsin",NDA,SCHOOL DISTRICT OF MAUSTON,WISCONSIN,NCES_District-5508850,510 Grayside Ave,Mauston,http://www.maustonschools.org,MAUSTON SCHOOL DISTRICT,Yes
"Harlingen Consolidated Independent School District, Texas",NDA,HARLINGEN CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4801465,P O BOX 450165,HOUSTON,http://www.reveprep.org,REVE PREPARATORY CHARTER SCHOOL,Yes
"New Lexington City School District, Ohio",NDA,NEW LEXINGTON CITY SCHOOL DISTRICT,OHIO,NCES_District-3904447,2549 Panther Drive,New Lexington,http://www.nlpanthers.org/,NEW LEXINGTON SCHOOL DISTRICT,Yes
"Milton Area School District, Pennsylvania",NDA,MILTON AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4215480,700 Mahoning St,Milton,http://www.miltonsd.org,MILTON AREA SD,Yes
"Ridgewood Community High School District #234, Illinois",NDA,RIDGEWOOD COMMUNITY HIGH SCHOOL DISTRICT #234,ILLINOIS,NCES_District-1733720,7500 W Montrose Ave,Norridge,http://www.d234.org,RIDGEWOOD CHSD 234,Yes
"Otsego Northern Catskills BOCES, New York",NDA,OTSEGO NORTHERN CATSKILLS BOCES,NEW YORK,NCES_District-3680280,5 BOCES RD,POUGHKEEPSIE,http://www.dcboces.org,DUTCHESS BOCES,Yes
"Fall River Public Schools, Massachusetts",NDA,FALL RIVER PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2504830,417 Rock Street,Fall River,http://www.fallriverschools.org,FALL RIVER,Yes
"Kranz Junior High School, Texas",NDA,KRANZ JUNIOR HIGH SCHOOL,TEXAS,NCES_District-4801464,1300 CROSSLAND RD,GRANBURY,http://lonestarsuccessacademy.com/,LAKE GRANBURY ACADEMY CHARTER SCHOOL,Yes
"Montgomery County R-II School District, Missouri",NDA,MONTGOMERY COUNTY R-II SCHOOL DISTRICT,MISSOURI,NCES_District-2900001,PO BOX 819,BELLE,http://mariesr2.org/,MARIES CO. R-II,Yes
"New Bedford Public Schools, Massachusetts",NDA,NEW BEDFORD PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2502400,97 McMahon Road,Bedford,http://www.bedfordps.org,BEDFORD,Yes
"Richland-Bean Blossom Community School Corporation, Indiana",NDA,RICHLAND-BEAN BLOSSOM COMMUNITY SCHOOL CORPORATION,INDIANA,NCES_District-1803570,9423 N SR 9,Hope,http://www.flatrock.k12.in.us,FLAT ROCK-HAWCREEK SCHOOL CORP,Yes
"Montville Township Public Schools, New Jersey",NDA,MONTVILLE TOWNSHIP PUBLIC SCHOOLS,NEW JERSEY,NCES_District-3411250,122 Fort Dix Street,Wrightstown,http://newhanover.k12.nj.us,NEW HANOVER TOWNSHIP,Yes
"Paul Laurence Dunbar High School, Kentucky",NDA,PAUL LAURENCE DUNBAR HIGH SCHOOL,KENTUCKY,NCES_District-2103240,50 Bulldog Lane,Louisa,http://www.lawrence.kyschools.us/,LAWRENCE COUNTY,Yes
"Needville Independent School District, Texas",NDA,NEEDVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800235,2951 WILLIAMS DR,GEORGETOWN,http://www.orendaeducation.org,ORENDA CHARTER SCHOOL,Yes
"Wahpeton Public Schools, North Dakota",NDA,WAHPETON PUBLIC SCHOOLS,NORTH DAKOTA,NCES_District-3800005,701 16th Ave SW,Mandan,http://www.nd.gov,MARMOT SCHOOLS,Yes
"Upper Perkiomen School District, Pennsylvania",NDA,UPPER PERKIOMEN SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4224540,2229 East Buck Rd,Pennsburg,http://www.upsd.org,UPPER PERKIOMEN SD,Yes
"Department for Aging and Rehabilitative Services, Virginia",NDA,DEPARTMENT FOR AGING AND REHABILITATIVE SERVICES,VIRGINIA,NCES_District-5102175,254 Granby Street,Norfolk,http://www.gsarts.net/,GOVERNOR'S SCHOOL FOR THE ARTS,Yes
"Seattle School District 1, Washington",NDA,SEATTLE SCHOOL DISTRICT 1,WASHINGTON,NCES_District-5307710,PO BOX 34165,SEATTLE,http://www.seattleschools.org,SEATTLE SCHOOL DISTRICT NO. 1,Yes
"Town Of Collierville, Tennessee",NDA,TOWN OF COLLIERVILLE,TENNESSEE,NCES_District-4700149,145 W. Poplar AVE,Collierville,http://www.colliervilleschools.org/,COLLIERVILLE,Yes
"Urban Promise Academy, California",NDA,URBAN PROMISE ACADEMY,CALIFORNIA,NCES_District-0602022,777 Aileen St.,Camarillo,http://www.camarillocharter.org,CAMARILLO ACADEMY OF PROGRESSIVE EDUCATION DISTRICT,Yes
"West Fargo Public Schools, North Dakota",NDA,WEST FARGO PUBLIC SCHOOLS,NORTH DAKOTA,NCES_District-3806780,700 7th Street South,Fargo,http://www.fargo.k12.nd.us,FARGO 1,Yes
"City of South Portland, Maine",NDA,CITY OF SOUTH PORTLAND,MAINE,NCES_District-2314813,25 Shaker Rd,Gray,http://www.fiddleheadschool.org,FIDDLEHEAD SCHOOL OF ARTS AND SCIENCES,Yes
"South Mountain Community College, Arizona",NDA,SOUTH MOUNTAIN COMMUNITY COLLEGE,ARIZONA,NCES_District-0400632,247 S 7TH ST UNIT A,SIERRA VISTA,http://www.berean-academy.com,COCHISE COMMUNITY DEVELOPMENT CORPORATION (81027),Yes
"Mt Vernon R-5 School District, Missouri",NDA,MT VERNON R-5 SCHOOL DISTRICT,MISSOURI,NCES_District-2900001,PO BOX 819,BELLE,http://mariesr2.org/,MARIES CO. R-II,Yes
"Jonesboro Public Schools, Arkansas",NDA,JONESBORO PUBLIC SCHOOLS,ARKANSAS,NCES_District-0510290,P O BOX DRAWER D,MULBERRY,http://www.mpvschools.com,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,Yes
"Franklin Area School District, Pennsylvania",NDA,FRANKLIN AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4210200,40 Knights Way,Franklin,http://www.fasd.k12.pa.us,FRANKLIN AREA SD,Yes
"Hermitage School District, Pennsylvania",NDA,HERMITAGE SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4280520,210 Campus Lane,Butler,http://www.butlertec.us,BUTLER COUNTY AREA VOCATIONAL-TECHNICAL SCHOOL,Yes
"Tornillo Independent School District, Texas",NDA,TORNILLO INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800259,8305 CROSS PARK DR,AUSTIN,http://www.trinitycharterschools.org,TRINITY CHARTER SCHOOL,Yes
"University of North Carolina Hospital, North Carolina",NDA,UNIVERSITY OF NORTH CAROLINA HOSPITAL,NORTH CAROLINA,NCES_District-3700478,PO Box 2753,Sanford,,CENTRAL CAROLINA ACADEMY,Yes
"Smithville R-II School District, Missouri",NDA,SMITHVILLE R-II SCHOOL DISTRICT,MISSOURI,NCES_District-2928410,655 S COMMERCIAL,SMITHVILLE,http://WWW.SMITHVILLESCHOOLDISTRICT.NET,SMITHVILLE R-II,Yes
"School District of Somerset, Wisconsin",NDA,SCHOOL DISTRICT OF SOMERSET,WISCONSIN,NCES_District-5514010,PO Box 100,Somerset,http://www.somerset.k12.wi.us,SOMERSET SCHOOL DISTRICT,Yes
"Texas A&M Engineering Experiment Station, Texas",NDA,TEXAS A&M ENGINEERING EXPERIMENT STATION,TEXAS,NCES_District-4801441,12500 SAN PEDRO AVE,SAN ANTONIO,http://www.greatheartstx.org,GREAT HEARTS TEXAS,Yes
"Rockwall Independent School District, Texas",NDA,ROCKWALL INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800018,5815 ALDER DR,HOUSTON,http://www.serninos.org/,SER-NINOS CHARTER SCHOOL,Yes
"Grambling State University, Louisiana",NDA,GRAMBLING STATE UNIVERSITY,LOUISIANA,NCES_District-2200157,3113 Valley Creek Dr,Baton Rouge,,UNIVERSITY VIEW ACADEMY INC. (FRM LA CONNECTIONS),Yes
"Andover Public Schools, Massachusetts",NDA,ANDOVER PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2501950,30 Whittier Court,Andover,http://www.aps1.net,ANDOVER,Yes
"East Valley Central Middle School, Washington",NDA,EAST VALLEY CENTRAL MIDDLE SCHOOL,WASHINGTON,NCES_District-5304590,PO BOX 368,LYLE,http://www.lyleschools.org,LYLE SCHOOL DISTRICT,Yes
"San Bernardino County Superintendent of Schools, California",NDA,SAN BERNARDINO COUNTY SUPERINTENDENT OF SCHOOLS,CALIFORNIA,NCES_District-0600155,PO Box 477,Bridgeport,http://monocoe.k12.ca.us,MONO COUNTY ROC/P,Yes
"Jefferson County, Idaho",NDA,JEFFERSON COUNTY,IDAHO,NCES_District-1601570,3850 E 300 N,RIGBY,,JEFFERSON COUNTY JOINT DISTRICT,Yes
"Grapevine-Colleyville Independent School District, Texas",NDA,GRAPEVINE-COLLEYVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800258,5300 WURZBACH RD STE 800,SAN ANTONIO,http://www.sstschools.org/,SCHOOL OF SCIENCE AND TECHNOLOGY,Yes
"Copper Country Independent School District, Michigan",NDA,COPPER COUNTRY INDEPENDENT SCHOOL DISTRICT,MICHIGAN,NCES_District-2622830,21236 H DR N,MARSHALL,http://www.marleeschool.com,MAR LEE SCHOOL DISTRICT,Yes
"Pine Hill Borough School District, New Jersey",NDA,PINE HILL BOROUGH SCHOOL DISTRICT,NEW JERSEY,NCES_District-3412990,1003 Turnerville Road,Pine HIll,http://www.pinehill.k12.nj.us,PINE HILL SCHOOL DISTRICT,Yes
"Escondido Union School District, California",NDA,ESCONDIDO UNION SCHOOL DISTRICT,CALIFORNIA,NCES_District-0612880,2310 Aldergrove Ave.,Escondido,http://www.eusd.org,ESCONDIDO UNION,Yes
"Midview Local School District, Ohio",NDA,MIDVIEW LOCAL SCHOOL DISTRICT,OHIO,NCES_District-3904817,13050 Durkee Rd,Grafton,http://www.midviewk12.org/,MIDVIEW LOCAL,Yes
"East Grand School District No. 2 School District, Colorado",NDA,EAST GRAND SCHOOL DISTRICT NO. 2 SCHOOL DISTRICT,COLORADO,NCES_District-0804320,PO BOX 125,GRANBY,http://www.egsd.org.,EAST GRAND SCHOOL DISTRICT NO. 2,Yes
"El Dorado Union High School District, California",NDA,EL DORADO UNION HIGH SCHOOL DISTRICT,CALIFORNIA,NCES_District-0612070,4675 Missouri Flat Rd.,Placerville,http://www.eduhsd.k12.ca.us,EL DORADO UNION HIGH,Yes
